City,Census URL,County,State,Type,"American Indian- and Alaska Native-owned firms, percent, 2007  ","Persons per household, 2008-2012  ","Foreign born persons, percent, 2008-2012  ","Persons under 18 years, percent, 2010  ","Black or African American alone, percent, 2010 (a)  ","Median value of owner-occupied housing units, 2008-2012  ","Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007  ","Housing units in multi-unit structures, percent, 2008-2012  ","Households, 2008-2012  ","White alone, percent, 2010 (a)  ","Veterans, 2008-2012  ","High school graduate or higher, percent of persons age 25+, 2008-2012  ","Hispanic-owned firms, percent, 2007  ","Population, 2010  ",FIPS Code  ,"Total number of firms, 2007  ","Persons below poverty level, percent, 2008-2012  ","Persons under 5 years, percent, 2010  ","Two or More Races, percent, 2010  ","Persons 65 years and over, percent,  2010  ","Manufacturers shipments, 2007 ($1000)  ","Population, percent change, April 1, 2010 to July 1, 2012  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ($1000)  ","Women-owned firms, percent, 2007  ","Asian-owned firms, percent, 2007  ","Homeownership rate, 2008-2012  ","Retail sales, 2007 ($1000)  ","Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)  ","Black-owned firms, percent, 2007  ","Living in same house 1 year & over, percent, 2008-2012  ","Housing units, 2010  ","Population, percent change, April 1, 2010 to July 1, 2013  ","Hispanic or Latino, percent, 2010 (b)  ","Retail sales per capita, 2007  ","American Indian and Alaska Native alone, percent, 2010 (a)  ","Language other than English spoken at home, pct age 5+, 2008-2012  ","Population, 2012 estimate  ","Population, 2013 estimate  ","Per capita money income in past 12 months (2012 dollars), 2008-2012  ","Asian alone, percent, 2010 (a)  ","Bachelor's degree or higher, percent of persons age 25+, 2008-2012  ","Mean travel time to work (minutes), workers age 16+, 2008-2012  ","White alone, not Hispanic or Latino, percent, 2010  ","Median household income, 2008-2012  ","Female persons, percent, 2010  ","Population, 2010 (April 1) estimates base  ","Accommodation and food services sales, 2007 ($1000)  ","Land area in square miles, 2010  "
Elm Grove ,http://quickfacts.census.gov/qfd/states/55/5523575.html,Waukesha County,Wisconsin,village,F,2.52,3.6,23.9,0.7,375700,F,19.8,2303,95.4,452,98.9,F,5934,23575,812,2.9,4.6,1,22.3,0,0.2,1817.5,86248,S,F,92,75479,0.1,S,90.9,2513,0.3,2,12569,0.1,4.7,5945,5949,56437,2.5,70.2,20.1,93.7,109933,54.1,5934,6061,3.27
Owosso ,http://quickfacts.census.gov/qfd/states/26/2661940.html,Shiawassee County,Michigan,city,F,2.39,1,25.2,0.8,86700,F,23.7,6241,95.7,991,88.3,S,15194,61940,999,21.9,7.1,2.1,12.8,176513,-2.1,2906.3,123106,29.3,S,64.5,169433,Z,F,82,6823,-2.7,3.9,11191,0.5,2.8,14882,14784,19157,0.3,14.6,22.8,93.1,36668,51.6,15194,22864,5.23
Doctor Phillips ,http://quickfacts.census.gov/qfd/states/12/1217725.html,Orange County,Florida,CDP,F,2.85,27.5,21.2,4.1,311300,F,16.6,3950,75.1,642,94.1,12.9,10981,17725,2006,7.1,4.3,3.7,13.4,0,X,3234.5,15075,25.7,10.4,81.3,186660,Z,S,86.2,4935,X,12.9,NA,0.2,32.6,X,X,44968,13.9,51.8,22.3,65.9,87976,51.1,X,D,3.4
Dyer ,http://quickfacts.census.gov/qfd/states/18/1819270.html,Lake County,Indiana,town,F,2.83,6.2,23.1,2.5,197500,F,5.4,5641,90.1,1208,92,S,16390,19270,1559,2,4.9,1.8,15.5,0,-0.2,2685.1,19980,22.8,S,93.6,189077,Z,3.3,93,6125,-0.7,9.3,12089,0.2,9.2,16365,16277,35020,2.9,29.4,30.2,84,78881,51.6,16390,D,6.1
Hendersonville ,http://quickfacts.census.gov/qfd/states/37/3730720.html,Henderson County,North Carolina,city,S,2.27,13.3,17.8,9.2,166900,F,38.1,5489,79.7,1279,81.5,S,13137,30720,2346,21.9,5.5,2.2,30.2,D,1.4,1892.9,217199,30,S,51.5,900837,0.3,2.7,79.7,7744,2.8,13.5,74976,0.4,16.1,13282,13466,21494,1.2,30.8,17,74.1,38849,55.3,13105,98681,6.94
Emmett ,http://quickfacts.census.gov/qfd/states/16/1625570.html,Gem County,Idaho,city,S,2.52,7.7,27.2,0.2,122700,S,17.9,2556,91.1,469,80.3,S,6557,25570,S,26.1,8.7,2.6,17.4,0,-0.5,2339.3,11103,S,S,54.6,102850,0.1,S,75.2,2916,-0.6,12.7,16351,0.6,13.4,6529,6519,15041,0.7,11.3,28.4,83.9,27853,51.6,6559,D,2.8
Fort Hunt ,http://quickfacts.census.gov/qfd/states/51/5129136.html,Fairfax County,Virginia,CDP,F,2.79,8.1,27.2,2.3,640500,F,0.3,5986,91.6,1963,98.1,S,16045,29136,1455,1.2,6.1,2.3,17.8,0,X,2741.8,14882,39,F,91.6,38750,0.1,S,87.7,6113,X,4.4,NA,0.2,10.6,X,X,68560,2.8,74.9,30.2,88.4,162861,51.5,X,3434,5.85
Grapevine ,http://quickfacts.census.gov/qfd/states/48/4830644.html,Dallas County,Texas,city,F,2.55,11.6,25.1,3.3,224200,F,34.3,18286,81.1,3069,92.7,4.1,46334,30644,5194,11.2,5.7,2.2,7.9,427665,4.7,1451,3263313,30.8,3.3,58.5,1611428,0.2,S,81,19685,8.3,18,32316,0.7,19.6,48495,50195,37388,4.5,45.6,22.7,72.2,73785,50.5,46334,697853,31.93
Lee Acres ,http://quickfacts.census.gov/qfd/states/35/3540525.html,San Juan County,New Mexico,CDP,F,3.73,6.1,28.7,0.7,102200,F,0,1766,61.7,440,68,F,5858,40525,F,20.2,8.2,3.7,11.6,0,X,455.5,0,F,F,77.8,0,0.1,F,84.9,2244,X,37,NA,17.2,45.3,X,X,18093,0.3,9.8,22.8,44.3,43698,49.6,X,0,12.86
Kingstowne ,http://quickfacts.census.gov/qfd/states/51/5142746.html,Fairfax County,Virginia,CDP,F,2.32,23.7,22,16.9,447200,F,32.6,6230,62.8,1637,95.3,F,15556,42746,F,3.7,7.8,4.7,6.5,0,X,5435.4,0,F,F,63.3,0,Z,F,80.9,7048,X,9,NA,0.3,33,X,X,58101,13,66.5,33.5,57.1,117961,53.2,X,0,2.86
