City,Census URL,County,State,Type,"American Indian- and Alaska Native-owned firms, percent, 2007  ","Persons per household, 2008-2012  ","Foreign born persons, percent, 2008-2012  ","Persons under 18 years, percent, 2010  ","Black or African American alone, percent, 2010 (a)  ","Median value of owner-occupied housing units, 2008-2012  ","Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007  ","Housing units in multi-unit structures, percent, 2008-2012  ","Households, 2008-2012  ","White alone, percent, 2010 (a)  ","Veterans, 2008-2012  ","High school graduate or higher, percent of persons age 25+, 2008-2012  ","Hispanic-owned firms, percent, 2007  ","Population, 2010  ",FIPS Code  ,"Total number of firms, 2007  ","Persons below poverty level, percent, 2008-2012  ","Persons under 5 years, percent, 2010  ","Two or More Races, percent, 2010  ","Persons 65 years and over, percent,  2010  ","Manufacturers shipments, 2007 ($1000)  ","Population, percent change, April 1, 2010 to July 1, 2012  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ($1000)  ","Women-owned firms, percent, 2007  ","Asian-owned firms, percent, 2007  ","Homeownership rate, 2008-2012  ","Retail sales, 2007 ($1000)  ","Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)  ","Black-owned firms, percent, 2007  ","Living in same house 1 year & over, percent, 2008-2012  ","Housing units, 2010  ","Population, percent change, April 1, 2010 to July 1, 2013  ","Hispanic or Latino, percent, 2010 (b)  ","Retail sales per capita, 2007  ","American Indian and Alaska Native alone, percent, 2010 (a)  ","Language other than English spoken at home, pct age 5+, 2008-2012  ","Population, 2012 estimate  ","Population, 2013 estimate  ","Per capita money income in past 12 months (2012 dollars), 2008-2012  ","Asian alone, percent, 2010 (a)  ","Bachelor's degree or higher, percent of persons age 25+, 2008-2012  ","Mean travel time to work (minutes), workers age 16+, 2008-2012  ","White alone, not Hispanic or Latino, percent, 2010  ","Median household income, 2008-2012  ","Female persons, percent, 2010  ","Population, 2010 (April 1) estimates base  ","Accommodation and food services sales, 2007 ($1000)  ","Land area in square miles, 2010  "
Raceland ,http://quickfacts.census.gov/qfd/states/22/2263155.html,Lafourche Parish,Louisiana,CDP,F,2.67,1.2,24.7,28.5,98800,F,2.9,3791,67,832,74,S,10193,63155,682,17.9,7.2,1.5,14.4,0,X,472.5,D,S,F,82.6,65509,Z,S,92.6,4063,X,2.8,NA,1.1,14.8,X,X,21227,0.3,11.9,27.6,66,41908,51.5,X,7671,21.57
Monroe ,http://quickfacts.census.gov/qfd/states/53/5346685.html,Snohomish County,Washington,city,F,2.94,10.9,26.6,3.5,270500,F,27.1,5096,78.6,1157,85.7,S,17304,46685,1616,7.3,8,3.8,7.2,291651,1.2,2862.1,84138,28,S,68.8,365576,0.4,2.8,81.5,5306,2.4,17.1,21792,1.4,19.3,17513,17724,23334,2.8,19.9,28.9,72,70283,43.7,17304,44905,6.05
Glennville ,http://quickfacts.census.gov/qfd/states/13/1333336.html,Tattnall County,Georgia,city,F,2.53,3.8,23.6,31.4,102300,F,14.1,1369,63.2,555,77.7,S,3569,33336,540,15.2,6.9,1.3,18.2,0,0.8,544.8,61175,34.1,F,65.4,62477,0.2,S,80.2,1729,0.7,5,12258,0.6,5.7,5210,5208,18936,1.1,14.5,18.8,61.3,47721,55,5171,3538,6.55
Overlea ,http://quickfacts.census.gov/qfd/states/24/2459325.html,Baltimore County,Maryland,CDP,F,2.49,6.7,21.1,19,208000,F,23.5,5091,74.7,1031,86.7,S,12275,59325,907,8.8,5.8,1.9,15.7,0,X,4087.6,17136,S,F,72.7,285967,Z,S,91.9,5274,X,3.1,NA,0.2,8.5,X,X,29127,3.2,23.4,27.1,72.8,60683,51.6,X,25358,3
Flint ,http://quickfacts.census.gov/qfd/states/26/2629000.html,Genesee County,Michigan,city,0.9,2.46,1.4,27.3,56.6,50500,F,17.5,41045,37.4,6071,82,S,102434,29000,7057,39.7,8,3.9,10.7,D,-1.9,3065.4,757565,45.5,2.2,55.8,876512,Z,40.8,79.2,51321,-2.6,3.9,7659,0.5,2.9,100412,99763,14606,0.5,11.4,21.3,35.7,26339,52,102400,87236,33.42
Hitchcock ,http://quickfacts.census.gov/qfd/states/48/4834220.html,Galveston County,Texas,city,S,2.76,5.9,27.2,30.8,80400,S,17.8,2545,58.8,586,81.8,S,6961,34220,S,19.7,8.5,2.4,13.7,0,3.2,115.1,6402,S,S,62.8,20217,Z,S,84,3020,4.9,20.3,2819,0.5,15.1,7184,7302,19610,0.3,8.2,23.1,47.8,46066,52.1,6961,3969,60.46
Lincolnton ,http://quickfacts.census.gov/qfd/states/37/3738320.html,Lincoln County,North Carolina,city,F,2.41,7.4,23.5,13.7,124100,F,32.2,4152,76.6,758,78.7,9.9,10486,38320,1551,26.4,7.2,2.8,16.9,460153,1.7,1220.3,61673,S,S,47.7,428126,0,S,72.7,4842,2.5,16,40378,0.3,15.2,10659,10743,19263,0.6,17.2,25.2,68,31292,52.8,10484,40203,8.59
Camp Hill ,http://quickfacts.census.gov/qfd/states/42/4211000.html,Cumberland County,Pennsylvania,borough,F,2.27,8.6,22.3,1.8,201100,F,21.6,3402,88.8,724,96.8,S,7888,11000,1323,4.4,5.5,1.9,17.4,0,0.1,3717.2,44609,18.3,S,73.2,172313,0,F,89.9,3545,0.1,2.7,23292,0.1,11,7896,7892,36017,6.7,47.6,17.7,87.4,62158,52,7888,20587,2.12
Bonney Lake ,http://quickfacts.census.gov/qfd/states/53/5307170.html,Pierce County,Washington,city,F,2.93,4.3,28.5,1.3,273400,F,7.1,5913,88.8,1429,92.8,S,17374,7170,1270,9.6,8,4.5,6.4,0,3.3,2187.6,6977,26.1,S,79.2,273211,0.2,F,83.6,6394,5.3,6.1,16987,1,6.5,17956,18289,29986,2.4,22.2,36.2,85.5,77432,49.7,17374,35444,7.94
Holmen ,http://quickfacts.census.gov/qfd/states/55/5535450.html,La Crosse County,Wisconsin,village,F,2.68,3.6,30,0.6,166600,F,19,3348,90.4,601,95.9,F,9005,35450,995,6.7,8.8,1.5,10.2,0,3.2,1732.4,12398,S,S,74.9,57527,Z,F,83,3521,4.5,1.1,7502,0.2,6.9,9299,9423,24434,7,27.9,22.5,89.8,61832,51.1,9015,7318,5.2
Cayce ,http://quickfacts.census.gov/qfd/states/45/4512655.html,Lexington County,South Carolina,city,F,2.33,5.5,18.6,25.1,122500,F,20,5381,68,1119,87.5,F,12528,12655,1098,20.9,5.5,2.1,14,D,1.6,752.5,104277,14,F,59.2,247551,0.1,S,79.8,5834,2.7,4.3,19650,0.4,7,12722,12860,23355,1.9,24.2,17.9,66.7,42538,52.1,12526,33478,16.65
Elk Plain ,http://quickfacts.census.gov/qfd/states/53/5321205.html,Pierce County,Washington,CDP,F,3.06,6.7,27.4,4.6,221200,F,1.9,4751,78.7,1955,91.1,F,14205,21205,533,8.6,6.4,7.6,7.9,0,X,1847,0,S,F,79.9,42459,2.4,6.2,87.2,4929,X,6.9,NA,1.2,11.6,X,X,24459,3.6,14.1,34.7,75.5,67108,50,X,D,7.69
Concord ,http://quickfacts.census.gov/qfd/states/06/0616000.html,Contra Costa County,California,city,S,2.7,26,22.9,3.6,373900,S,32.1,44929,64.5,7615,87.8,12.2,122067,16000,11008,11.3,6.8,6.4,11.8,528605,2.1,3996.2,553662,28.2,S,61.2,2578458,0.7,S,85.4,47125,3.1,30.6,21488,0.7,35.1,124718,125880,31500,11.1,30.7,29.9,50.3,65850,50.3,122110,240974,30.55
Pompton Lakes ,http://quickfacts.census.gov/qfd/states/34/3460090.html,Passaic County,New Jersey,borough,F,2.74,17.8,22.2,1.4,339800,F,28.6,4031,87.9,386,91.8,S,11097,60090,929,5.3,5.6,1.8,12.7,0,0.5,3809.5,18410,S,S,78.3,54011,Z,F,91.3,4341,0.5,10.9,4922,0.1,23.2,11156,11148,37250,5.4,34.8,27.1,81.3,90467,51.6,11097,9525,2.91
Newark ,http://quickfacts.census.gov/qfd/states/10/1050670.html,New Castle County,Delaware,city,F,2.44,10.5,10.7,6.7,281400,F,37.6,10222,82.4,1611,95.5,3.6,31454,50670,2508,28.1,2.8,2.3,9.4,3070018,2.9,3424.5,349493,24.8,8,54.3,894934,Z,S,61.3,10475,3.3,4.8,29721,0.2,14.1,32430,32549,24534,7.1,53.9,20.1,79.4,51184,53.3,31513,138633,9.19
Brooklyn ,http://quickfacts.census.gov/qfd/states/39/3909246.html,Cuyahoga County,Ohio,city,F,2.29,10.9,19.1,5.2,118800,F,32.9,4836,84.3,1067,85,F,11169,9246,809,12.9,4.3,2.4,19.2,516335,-1.2,2629.2,165063,20,F,57.5,498894,0,F,88,5506,-1.5,10.4,47527,0.2,16.9,11036,11001,22394,3.9,15.3,21.7,78.9,40642,51.8,11169,58422,4.25
Laurel ,http://quickfacts.census.gov/qfd/states/24/2445900.html,Prince George's County,Maryland,city,F,2.51,26.2,22.6,48.9,272000,F,47.2,9876,30.1,1793,84.5,S,25115,45900,2767,7.8,8,3.8,7,0,1.8,5839.3,33942,35.5,8.8,51.1,460140,0.1,27.8,80.1,11397,2.7,15.5,21204,0.4,30.5,25565,25800,33075,9.2,38.2,34.3,24.4,66355,52.3,25115,106774,4.3
Vail ,http://quickfacts.census.gov/qfd/states/08/0880040.html,Eagle County,Colorado,town,F,2.01,8.8,10.4,0.6,670800,F,62.1,2626,93.4,342,99.3,S,5305,80040,1527,6.1,2.9,1.1,10.5,0,-0.8,1135.7,D,22.9,F,58.8,180755,Z,F,80.4,7230,0.1,7.4,39048,0.5,9.4,5265,5311,72129,1.7,65.6,17.2,88.9,70332,42.5,5305,214645,4.67
Swoyersville ,http://quickfacts.census.gov/qfd/states/42/4275832.html,Luzerne County,Pennsylvania,borough,F,2.23,0.6,17.7,0.5,120500,F,12.6,2271,98.2,540,92.3,F,5062,75832,F,9.6,4.3,0.7,20.6,0,-0.1,2382.1,0,F,F,82.1,0,0,F,94,2429,-0.8,1,NA,0.1,2.5,5055,5024,26072,0.3,22.9,26.1,97.6,52349,51.9,5062,0,2.13
Park City ,http://quickfacts.census.gov/qfd/states/20/2054450.html,Sedgwick County,Kansas,city,F,2.78,2.3,29.2,4.3,105300,F,3.1,2587,86.1,367,91,F,7297,54450,387,12.4,9.4,3.8,8.1,D,1.8,769.2,112392,S,F,82.1,166472,Z,F,89.9,2875,2.8,8.8,21916,1.4,5.8,7426,7499,22390,1.6,20.4,20.1,81.3,57252,50.1,7297,19109,9.49
Middlesex ,http://quickfacts.census.gov/qfd/states/34/3445900.html,Middlesex County,New Jersey,borough,F,2.77,15.7,22.5,5.1,332700,F,17.5,4919,81.2,829,89.8,S,13635,45900,1410,1.9,5.5,2,13.8,300318,0.8,3875.8,207110,30.4,7.7,78,124683,0.1,S,93.5,5148,1.3,16.5,9204,0.2,20.3,13746,13812,35016,6,30,23.3,71.5,86498,51.6,13635,10385,3.52
Riverside ,http://quickfacts.census.gov/qfd/states/17/1764421.html,Cook County,Illinois,village,F,2.7,10,25.9,1.3,386700,F,25.6,3280,91.3,520,94.5,F,8875,64421,1120,3.6,5.9,1.8,14.3,0,0.2,4486.9,D,S,F,81.4,14705,Z,F,92.4,3680,0.2,10.5,1784,0.2,19.5,8890,8895,48230,2.1,60.5,31.6,84.9,95156,51.4,8875,3986,1.98
Grand Island ,http://quickfacts.census.gov/qfd/states/31/3119595.html,Hall County,Nebraska,city,F,2.6,14.4,27.6,2.1,109200,F,23,18312,80,3169,80.6,3.7,48520,19595,4445,15,8.4,2.4,13,D,2.8,1708,553403,24.3,S,62.4,962883,0.2,S,80.9,19426,3.9,26.7,21389,1,22,50026,50550,22126,1.2,16.1,14.2,68.6,44791,50.2,48645,86154,28.41
Applewood ,http://quickfacts.census.gov/qfd/states/08/0802575.html,Jefferson County,Colorado,CDP,F,2.24,2.7,19,0.6,333400,F,21.9,3178,93.5,821,97.1,S,7160,2575,1104,8.1,4.3,2.2,18.8,0,X,1756.2,75728,S,F,69.7,12539,0.2,F,82.9,3247,X,5.6,NA,0.8,6.1,X,X,43443,1.6,49.3,26.2,89.8,73273,50.9,X,3368,4.08
Sheldon ,http://quickfacts.census.gov/qfd/states/19/1972390.html,O'Brien County,Iowa,city,F,2.04,3,23.1,0.6,112400,F,24.2,2398,93.7,416,92,F,5188,72390,F,7,6.6,0.8,18.6,0,-1.2,1153.9,0,F,F,66.1,0,Z,F,82.1,2365,-1.9,6.5,NA,Z,5.5,5129,5093,27703,1.1,25.7,11.5,91.3,43385,49.3,5191,0,4.5
Newman ,http://quickfacts.census.gov/qfd/states/06/0651140.html,Stanislaus County,California,city,S,3.22,24.2,32.4,2.3,147500,F,12.2,3155,66.6,578,72.7,S,10224,51140,410,21.5,8.4,5.4,8.5,0,3.3,4863.9,15012,25.4,F,60.7,45947,0.4,F,81.6,3357,4.1,61.6,4658,1,53.3,10565,10639,17579,1.9,11.2,34.1,32.5,47018,50.5,10224,2707,2.1
Fort Polk South ,http://quickfacts.census.gov/qfd/states/22/2226757.html,Vernon Parish,Louisiana,CDP,F,3.63,5.5,36.4,20.3,0,F,65.2,1976,63.3,679,97.9,F,9038,26757,126,10.5,15.7,7.5,0.1,0,X,1468.2,0,S,F,0,D,0.9,S,52.1,2308,X,14.9,D,0.9,15.8,X,X,16544,2.2,27,9.5,56.9,44714,41.4,X,0,6.16
Marshfield ,http://quickfacts.census.gov/qfd/states/29/2946388.html,Webster County,Missouri,city,F,2.32,1.1,27.6,0.4,99300,F,22.5,2795,96.5,437,85.5,F,6633,46388,858,21.5,7.9,1.7,17.7,0,1,1318.4,22645,43.9,S,56,129757,Z,F,77.2,2918,1.7,1.7,18382,0.8,2.8,6746,6791,18001,0.2,15.7,25.1,95.5,31456,52.9,6679,9829,5.03
Kirkland ,http://quickfacts.census.gov/qfd/states/53/5335940.html,King County,Washington,city,F,2.17,20.3,18.8,1.8,464200,F,49.8,22326,79.3,2575,96.1,1.5,48787,35940,8021,6.1,6,4.5,10.9,D,3.5,4522.8,645826,27.4,4.6,57.8,1591480,0.3,0.5,79.6,24345,4.8,6.3,33825,0.4,21.1,83417,84430,51229,11.3,56.7,22.6,75.9,86656,51.3,80583,176923,10.79
Cave Spring ,http://quickfacts.census.gov/qfd/states/51/5113720.html,Roanoke County,Virginia,CDP,F,2.24,7.8,21.1,4.3,210900,F,30.4,11536,88.6,2667,96.5,1.6,24922,13720,2749,5.8,4.8,1.8,17.7,0,X,2097.8,120250,21.8,S,67.5,393245,Z,F,83.3,11832,X,2.8,NA,0.2,9.6,X,X,35831,4.3,47,19.1,86.8,62933,53.1,X,60361,11.88
Lake Havasu City ,http://quickfacts.census.gov/qfd/states/04/0439370.html,Mohave County,Arizona,city,S,2.3,5.1,17.9,0.7,206400,F,14.8,22796,90.1,7527,89.3,S,52527,39370,5348,13.4,4.5,2.3,26.9,238580,0.5,1182.1,97488,25.5,1.4,69.7,862846,0.1,F,82.2,32327,0.6,12.1,15414,1,7.7,52803,52844,24676,1,15.3,17.5,84,42428,50.6,52532,104715,44.44
Prien ,http://quickfacts.census.gov/qfd/states/22/2262647.html,Calcasieu Parish,Louisiana,CDP,F,2.69,1.7,26,7.4,167100,F,0.5,2822,85.4,652,93.2,F,7810,62647,454,6.3,6.7,2.4,11.2,0,X,1300.8,D,S,F,92.2,10109,0.1,F,85.1,3036,X,2.2,NA,0.4,6.5,X,X,31270,3.3,30.6,18.3,84.1,61311,50.5,X,0,6
Great Falls ,http://quickfacts.census.gov/qfd/states/30/3032800.html,Cascade County,Montana,city,2.9,2.32,2.2,22.5,1.1,153500,F,29,24660,88.5,7037,90.2,F,58505,32800,5048,16.9,6.7,3.8,16.6,640197,0.6,2684.9,596956,24.4,S,63.5,1225965,0.1,F,80.8,26854,1.2,3.4,20854,5,4.1,58984,59351,23238,0.9,23.2,14.5,86.7,42085,51.1,58631,157730,21.79
Roeland Park ,http://quickfacts.census.gov/qfd/states/20/2060825.html,Johnson County,Kansas,city,F,2.25,3.3,20,3.7,158400,F,12.5,3019,87.6,432,96.5,S,6731,60825,654,6.5,7,3,11.1,0,1.3,4149.8,9065,S,F,77.4,137060,Z,F,87.3,3282,1.7,10.4,19701,0.4,4.1,6818,6845,36870,1.5,50.3,18,82,64696,51.6,6731,5934,1.62
North Platte ,http://quickfacts.census.gov/qfd/states/31/3135000.html,Lincoln County,Nebraska,city,F,2.28,2.1,24.9,1,99400,F,21.9,10487,93.1,2448,90.5,1.8,24733,35000,1948,11,7.6,1.7,15.5,0,-0.9,1873.7,155071,29.7,S,66,582763,Z,F,83.7,11450,-0.8,8.8,24233,0.7,4.6,24524,24534,23944,0.7,16.9,11.6,88,43174,51.2,24736,65529,13.2
Vandenberg Village ,http://quickfacts.census.gov/qfd/states/06/0682086.html,Santa Barbara County,California,CDP,F,2.53,10.7,22.6,4.2,324900,F,13.8,2658,77.4,1144,93.4,F,6497,82086,378,3.9,5.1,5,20.6,0,X,1238.2,0,S,F,72.2,5906,0.9,F,84.2,2707,X,18.7,NA,0.9,13.1,X,X,34750,5,32.3,18.2,67.5,78088,51,X,1143,5.25
Somerset ,http://quickfacts.census.gov/qfd/states/42/4271776.html,Somerset County,Pennsylvania,borough,F,2.31,2.1,20.5,0.8,116500,F,41.4,2628,96.8,436,88.9,F,6277,71776,739,22.4,5.6,1.1,19.1,300774,-1.4,2300.1,187810,S,S,52.4,121587,Z,F,85.4,3218,-2.1,1.1,19075,0.2,3.5,6192,6144,22750,0.9,22.9,15.6,95.9,38177,54.5,6277,42598,2.73
Newark ,http://quickfacts.census.gov/qfd/states/34/3451000.html,Essex County,New Jersey,city,S,2.85,26.9,25.6,52.4,264400,0.4,79.9,92303,26.3,7232,70.1,25,277140,51000,16484,28,7.5,3.8,8.6,3209162,0.2,11458.2,3119200,33.4,4.6,23.5,1637185,Z,35.3,86.2,109520,0.5,33.8,5902,0.6,45,277625,278427,17161,1.6,12.5,31.3,11.6,34387,50.5,277138,552638,24.19
Kemp Mill ,http://quickfacts.census.gov/qfd/states/24/2443200.html,Montgomery County,Maryland,CDP,F,2.84,28.4,24.5,16.6,407300,F,18.4,4204,63,764,90.6,S,12564,43200,1533,3.9,7.2,3.7,17.6,0,X,4952.3,D,33.1,5.1,84.8,20183,Z,11.3,90,4664,X,16.4,NA,0.6,30.8,X,X,44170,8.6,56.5,33.2,56,94950,52.4,X,836,2.54
Bixby ,http://quickfacts.census.gov/qfd/states/40/4006400.html,Tulsa County,Oklahoma,city,S,2.77,4.8,28.7,1.6,185700,F,10.7,7554,84.2,1395,93.5,S,20884,6400,2194,6.3,7.5,4.8,12,0,7.9,842.2,D,S,S,80.2,160357,Z,S,85.1,8187,11.1,4.9,7997,5.9,6.9,22568,23228,36257,1.6,37.1,23.3,81.6,71944,50.6,20910,21293,24.8
Sturtevant ,http://quickfacts.census.gov/qfd/states/55/5577925.html,Racine County,Wisconsin,village,F,2.43,4.7,18.1,15.9,151600,F,28.4,2036,78.8,561,85,F,6970,77925,600,5.2,5.3,2.2,8.8,327308,0.5,1662.3,461833,22.3,F,74.2,259631,Z,F,74.5,2240,0.3,6.1,38855,0.7,7.9,7002,6990,20527,1,13.5,22,74.8,55343,38.3,6970,6796,4.19
Marion ,http://quickfacts.census.gov/qfd/states/37/3741420.html,McDowell County,North Carolina,city,F,2.75,9.1,21.3,11.1,85000,F,22.1,2640,76.5,533,74.1,F,7838,41420,939,36.7,6.4,2,16.6,273931,-0.9,1454.7,43037,S,F,54.3,377103,0,F,83.3,3132,-1.2,13.1,54330,0.5,15.8,7955,7930,16022,0.8,15.7,20.8,73.3,24775,47.7,8027,29241,5.39
Litchfield ,http://quickfacts.census.gov/qfd/states/27/2737448.html,Meeker County,Minnesota,city,F,2.37,3.9,24.9,0.5,136400,F,24.6,2744,95.8,604,88,S,6726,37448,775,15.7,7,0.8,18.4,551622,-0.8,1517.6,D,S,F,70.1,106087,0,F,87.2,2930,-0.6,7.2,16096,0.1,7.1,6670,6688,23037,0.1,17,19,91.6,47011,51.2,6726,8541,4.43
Ada ,http://quickfacts.census.gov/qfd/states/40/4000200.html,Pontotoc County,Oklahoma,city,7.8,2.26,2,21.5,4.2,90800,F,22.2,6971,68.2,1347,84.7,S,16810,200,2747,25.8,6.9,7.5,14.5,416683,1.6,852.5,249544,25.5,S,51,395818,0.1,S,72.4,7862,1.8,5.6,24043,17,4.9,17105,17140,19961,1.2,30.8,13.3,65.7,32226,53,16830,D,19.72
Fort Drum ,http://quickfacts.census.gov/qfd/states/36/3626759.html,Jefferson County,New York,CDP,F,2.96,9.4,34.3,13,163300,F,74.6,3700,72.4,713,93.7,F,12955,26759,F,17.9,15.3,5.8,0.3,0,X,904.1,0,F,F,0.9,0,1.2,F,49.1,3353,X,15.5,NA,1,19.5,X,X,16448,2.7,18.6,10.1,64.1,40806,42.5,X,0,14.33
Coffeyville ,http://quickfacts.census.gov/qfd/states/20/2014600.html,Montgomery County,Kansas,city,F,2.27,4.4,22.6,11.7,56300,F,19.4,4245,72.3,702,83.6,F,10295,14600,883,21.8,7.1,6.8,18.1,D,-3.1,1386.2,65299,30.5,F,65,125198,0.2,F,78,5021,-3.4,7.4,12169,5,6.9,9979,9949,18744,0.7,13.4,11.1,69.4,31878,52.5,10295,21461,7.43
South Valley ,http://quickfacts.census.gov/qfd/states/35/3574520.html,Bernalillo County,New Mexico,CDP,S,3.06,17.3,26.8,1.2,139400,F,7.9,13708,59.5,2657,71.1,53,40976,74520,2283,23.9,7.3,4,12.3,D,X,1422.7,278497,22.6,F,75.7,157640,Z,F,90.9,14784,X,80.2,NA,2.2,53.2,X,X,17135,0.4,12.5,24,16.5,39121,50.3,X,20932,28.8
Swartz Creek ,http://quickfacts.census.gov/qfd/states/26/2677700.html,Genesee County,Michigan,city,F,2.59,1,22.6,5.1,110000,F,20.2,2204,91.6,606,92.9,F,5758,77700,829,19.7,5.9,1.8,20.1,0,-1.6,1423.8,D,S,F,68.6,65535,0,S,88.5,2749,-2.1,2.3,12435,0.2,1.3,5668,5636,22228,0.8,17.2,22.8,90.1,45862,55.2,5758,9868,4.04
Chaparral ,http://quickfacts.census.gov/qfd/states/35/3514250.html,Do?a Ana County,New Mexico,CDP,F,3.41,37.5,35.6,1.1,66700,F,1.1,3939,58.5,736,52.7,63.9,14631,14250,707,38.5,9.6,3.1,7.4,0,X,247,0,S,F,79.2,15575,Z,F,92.9,4654,X,84.1,NA,0.7,77.9,X,X,11064,0.2,4.3,28.6,13.9,26441,50.7,X,44,59.23
Providence ,http://quickfacts.census.gov/qfd/states/49/4962360.html,Cache County,Utah,city,F,3.16,3.1,35.5,0.1,221800,F,7.9,2193,95.5,300,98.3,F,7075,62360,764,4.7,10.4,1.5,11.3,0,0.9,1866.3,D,34.4,F,82.5,7873,0.3,F,85.9,2282,0.6,3.3,1242,0.2,5.8,7049,7033,24969,1,46.4,15.3,93.9,63280,51.3,6989,5621,3.79
Independence ,http://quickfacts.census.gov/qfd/states/19/1938100.html,Buchanan County,Iowa,city,F,2.36,0.4,23.9,0.3,115200,F,15.7,2457,97.6,448,92.3,F,5966,38100,536,16.1,6.6,1.1,19.7,0,Z,982.1,30759,S,F,72.1,122533,0,F,89,2745,0,1.2,20097,0.1,2.2,5968,5968,27715,0.7,26.6,18.7,96.9,51266,53.2,5966,9262,6.08
Cooper City ,http://quickfacts.census.gov/qfd/states/12/1214125.html,Broward County,Florida,city,S,3.07,21.6,25.7,4.9,304200,F,6.2,9633,85.1,1541,94.5,S,28547,14125,3354,5,4.7,2.4,8.8,0,13.4,3551.1,81348,26.4,S,88,278796,Z,S,91.5,9912,19.5,22.8,9594,0.3,28.8,32372,34128,35280,5.5,40.2,26.4,65.1,88465,51.6,28548,33044,8.04
Kingsport ,http://quickfacts.census.gov/qfd/states/47/4739560.html,Hawkins County,Tennessee,city,F,2.22,1.9,21,4.1,128300,F,24,22037,91.9,4893,86.8,S,48205,39560,4393,17.2,5.8,1.8,20.8,D,Z,967.8,379426,20.8,S,66,1260805,Z,S,82.7,23784,0.4,2.1,28302,0.3,4,52785,52962,25795,1,25.4,17.6,90.9,41111,53.6,52766,172015,49.81
Collinsville ,http://quickfacts.census.gov/qfd/states/51/5118352.html,Henry County,Virginia,CDP,F,2.16,7.2,22.3,13.7,117700,F,19.7,3534,77.4,545,75.3,F,7335,18352,361,17,6.6,1.7,20.7,0,X,933.6,7152,S,F,64.5,61078,0,F,83.5,3765,X,8.9,NA,0.2,10.5,X,X,23911,0.8,17.1,19,75.2,34800,53.8,X,14059,7.86
Sierra Madre ,http://quickfacts.census.gov/qfd/states/06/0671806.html,Los Angeles County,California,city,F,2.38,16.4,19.2,1.8,748600,F,23.5,4569,82.1,726,96.4,S,10917,71806,1912,9.6,4.7,4.3,17.4,0,1,3696.9,D,30,S,58.7,16217,0.1,F,91.1,5113,1.3,14.9,1513,0.4,21.5,11023,11056,48576,7.6,57.1,29.2,72.3,90321,52.7,10917,6672,2.95
Creve Coeur ,http://quickfacts.census.gov/qfd/states/29/2917272.html,St. Louis County,Missouri,city,F,2.29,15.4,20.9,7.2,386500,F,39.2,7510,79.9,1156,97.5,F,17833,17272,3268,6.2,4.7,1.9,20.7,129799,0.1,1736.8,5747513,21.5,3.5,67.6,1024042,Z,S,82.9,8433,0.2,2.6,60587,0.2,16.3,17854,17865,59195,10.1,70.1,19.4,78.1,88350,51.8,17833,96239,10.27
West Mifflin ,http://quickfacts.census.gov/qfd/states/42/4283512.html,Allegheny County,Pennsylvania,borough,F,2.41,0.7,20.2,11,86600,F,12.3,8404,86.5,1627,92.4,F,20313,83512,1159,12.8,5.4,1.8,19.5,D,-0.1,1429.1,933775,25.8,S,76.3,866053,0,F,92.2,9462,-0.3,1.2,42074,0.1,3.8,20289,20253,23101,0.4,18.8,27.6,85.7,46217,52.7,20313,68162,14.21
Wesley Chapel ,http://quickfacts.census.gov/qfd/states/37/3771940.html,Union County,North Carolina,village,F,3.26,2.7,34.7,4.6,312400,F,0,2291,90.7,310,94.1,F,7463,71940,F,1.9,6.1,1.5,6.4,0,3.9,787.4,0,F,F,95,0,0.1,F,95,2359,5.9,5,NA,0.2,4.5,7864,8015,33788,1.5,40.9,28.3,87.7,96073,49.5,7571,0,9.48
Winterville ,http://quickfacts.census.gov/qfd/states/37/3775060.html,Pitt County,North Carolina,town,F,2.8,5.7,29.2,31.6,162400,F,10.7,3242,62.8,624,90.1,F,9269,75060,F,11.6,9.3,1.9,8.7,0,2.7,2015.9,0,F,F,82,0,Z,F,88.1,3593,3.1,3.3,NA,0.3,7,9494,9530,26399,2.1,36.3,20.9,61,62923,53.4,9242,0,4.6
Valley Park ,http://quickfacts.census.gov/qfd/states/29/2975472.html,St. Louis County,Missouri,city,F,2.25,10.3,23.1,4,177400,F,39.4,2994,85.1,455,86.6,F,6942,75472,644,16.2,7.5,2.3,13.1,0,0,1826.4,27732,20.5,S,61.3,37437,0,S,84.9,3209,0,3.9,5946,0.4,10.4,6986,6986,31814,6.3,42.9,24.7,83.3,57400,52.2,6986,7923,3.8
Oasis ,http://quickfacts.census.gov/qfd/states/06/0653224.html,Riverside County,California,CDP,F,4.74,62.5,42.1,0.3,0,F,0,1238,24.6,32,21.7,F,6890,53224,F,53.6,13.8,1.6,2.9,0,X,351,0,F,F,76.4,0,0,F,88.5,1575,X,97.7,NA,1.4,95.6,X,X,7082,0.6,0.9,21.5,1,24871,46.3,X,0,19.63
Gleneagle ,http://quickfacts.census.gov/qfd/states/08/0830420.html,El Paso County,Colorado,CDP,F,2.88,3.9,29.8,1.5,323100,F,9.8,2391,91.3,951,96.8,F,6611,30420,F,1.4,6.1,2.6,12.1,0,X,2728.4,0,F,F,84.1,0,0.1,F,89,2405,X,5.5,NA,0.4,3,X,X,39909,3,60.3,24.2,87.3,100893,51.7,X,0,2.42
